iter	Logloss
0	0.539541096
1	0.5113564196
2	0.4964212522
3	0.4752902774
4	0.4514315814
5	0.4425488711
6	0.4170475462
7	0.3981023991
8	0.3917706648
9	0.3735369997
10	0.3600757078
11	0.3494833084
12	0.3365606758
13	0.3219390909
14	0.3140001019
15	0.3035110382
16	0.2957614047
17	0.291299666
18	0.2813448078
19	0.2694685473
20	0.2645890511
21	0.2587599308
22	0.2509210792
23	0.2410649078
24	0.2337009557
25	0.2263423039
26	0.2158830004
27	0.2076175628
28	0.2002408747
29	0.1932411046
30	0.1824778048
31	0.1736343077
32	0.1670082951
33	0.1604590898
34	0.1518283513
35	0.1458312883
36	0.1373349186
37	0.1325879063
38	0.1292549469
39	0.1235875228
40	0.1186286544
41	0.1148130469
42	0.1103656318
43	0.1058796401
44	0.1018029796
45	0.09903246477
46	0.09598459667
47	0.09383924298
48	0.09191687988
49	0.08863397676
50	0.08570519272
51	0.08414348115
52	0.08011950906
53	0.07838561377
54	0.07620946557
55	0.07442682365
56	0.07175267257
57	0.07033255822
58	0.06908714372
59	0.06743183881
60	0.06520340509
61	0.06289362227
62	0.06141462482
63	0.05947217494
64	0.05819887013
65	0.05652698909
66	0.05552480733
67	0.05410763947
68	0.05236167589
69	0.05106633861
70	0.05017542768
71	0.0483125396
72	0.04730445501
73	0.0466174849
74	0.04537664899
75	0.04413448776
76	0.04282931261
77	0.04159480296
78	0.03957355171
79	0.0387727941
80	0.03799756497
81	0.03696023543
82	0.0362074335
83	0.03535882442
84	0.03457583822
85	0.03314032642
86	0.03240995695
87	0.03165648468
88	0.03058574573
89	0.02973218765
90	0.02898608926
91	0.0280989769
92	0.02722169967
93	0.02671247806
94	0.02555745408
95	0.02480351773
96	0.02429897065
97	0.02366858709
98	0.02308999286
99	0.02263344304
100	0.02213676208
101	0.021861228
102	0.02166571609
103	0.02136419165
104	0.02107581283
105	0.02040716478
106	0.02009546302
107	0.01951208835
108	0.01916195675
109	0.01872812048
110	0.01828418033
111	0.01801103753
112	0.01751385273
113	0.01718398711
114	0.01678833719
115	0.01643161934
116	0.01621420547
117	0.01596984741
118	0.01567398341
119	0.01552830339
120	0.0152953289
121	0.0150657664
122	0.01455549076
123	0.0143070495
124	0.01391767492
125	0.01364507221
126	0.01345465949
127	0.01315946651
128	0.01296007822
129	0.01257048005
130	0.01235405788
131	0.01214670814
132	0.01187470435
133	0.01170396765
134	0.01148702543
135	0.01131202674
136	0.01114241239
137	0.01088859365
138	0.01079691005
139	0.01063074003
140	0.01047999263
141	0.01022514597
142	0.01014004039
143	0.00997609113
144	0.009781180152
145	0.009616389251
146	0.009497133387
147	0.009293840319
148	0.009120385437
149	0.008994286161
150	0.008770387055
151	0.008655886602
152	0.008568642641
153	0.008425418629
154	0.00832050712
155	0.008220869515
156	0.008075098621
157	0.007965881974
158	0.007827014208
159	0.007680575576
160	0.007579147809
161	0.007424051988
162	0.007310021436
163	0.007223170657
164	0.007148317234
165	0.006971262314
166	0.006971262314
167	0.006971262314
168	0.006971262314
169	0.006894612028
170	0.00678091136
171	0.006672456223
172	0.006672421414
173	0.006548789879
174	0.00649334018
175	0.006417403428
176	0.00634540655
177	0.006193236425
178	0.006136074459
179	0.006136074459
180	0.006135994841
181	0.005990489539
182	0.005890835172
183	0.005835266741
184	0.005762305365
185	0.00567496163
186	0.005607032958
187	0.005540599905
188	0.005540571181
189	0.005467286574
190	0.005467144933
191	0.00546713227
192	0.005466959298
193	0.005466926636
194	0.005405882792
195	0.005405882792
196	0.005405882792
197	0.005405838324
198	0.005376511163
199	0.005376511163
200	0.005376511163
201	0.005306871872
202	0.005306871872
203	0.005306871872
204	0.005304785429
205	0.005235912404
206	0.00523584521
207	0.005153433335
208	0.005095980672
209	0.005008813417
210	0.005008701179
211	0.004936379326
212	0.004936379326
213	0.004863634982
214	0.004784239217
215	0.004704343657
216	0.00470431091
217	0.004617354401
218	0.004617309421
219	0.004617288767
220	0.00456501353
221	0.004482747139
222	0.00441828054
223	0.004418207495
224	0.004361326968
225	0.004361297078
226	0.004361259888
